AMOUNT: 25.00; SHP_ITEM: 1; ORDER_ID: 391; FK_ORDER_ID: 24003470; CUR_ID: 155; DATE: 02.09.2017 01:51; SIGN: 603559F3B0C115EFC46D4F8FEA4B6AF9; MY_SIGN: 603559F3B0C115EFC46D4F8FEA4B6AF9;
AMOUNT: 10.00; SHP_ITEM: 1; ORDER_ID: 584; FK_ORDER_ID: 24025196; CUR_ID: 114; DATE: 02.09.2017 18:12; SIGN: 1679081FD83721F576B4B53AECB35F59; MY_SIGN: 1679081FD83721F576B4B53AECB35F59;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 19:54; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 623; FK_ORDER_ID: 24029001; CUR_ID: 155; DATE: 02.09.2017 19:55; SIGN: 779D48AE263779143E7721E1B4C62E21; MY_SIGN: 779D48AE263779143E7721E1B4C62E21;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 19:57; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 20:01; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 628; FK_ORDER_ID: 24029207; CUR_ID: 155; DATE: 02.09.2017 20:01; SIGN: 58AA2BF5A759CB0C8149BB599FA2CB1F; MY_SIGN: 58AA2BF5A759CB0C8149BB599FA2CB1F;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 20:06; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 20:11; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 619; FK_ORDER_ID: 24028971; CUR_ID: 155; DATE: 02.09.2017 20:15; SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825; MY_SIGN: 8D6CE84BE76C149ACC6F8C156BDD8825;
AMOUNT: 6.00; SHP_ITEM: 1; ORDER_ID: 702; FK_ORDER_ID: 24034392; CUR_ID: 114; DATE: 02.09.2017 22:46; SIGN: 62A16064FEE9BA1DE4B7193EFB5E736A; MY_SIGN: 62A16064FEE9BA1DE4B7193EFB5E736A;
AMOUNT: 2.50; SHP_ITEM: 6; ORDER_ID: 778; FK_ORDER_ID: 24039139; CUR_ID: 155; DATE: 03.09.2017 07:05; SIGN: 493710848A641DA9B3816E0DAD738104; MY_SIGN: 493710848A641DA9B3816E0DAD738104;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 850; FK_ORDER_ID: 24045113; CUR_ID: 155; DATE: 03.09.2017 11:57; SIGN: 34BFF5F0EC44B87398D0C5EA8118F58C; MY_SIGN: 34BFF5F0EC44B87398D0C5EA8118F58C;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 852; FK_ORDER_ID: 24045165; CUR_ID: 155; DATE: 03.09.2017 11:59; SIGN: 6D5277EDDF1E426AB4978B8DAD75B179; MY_SIGN: 6D5277EDDF1E426AB4978B8DAD75B179;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:19; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:20; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:25; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:30; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:35; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 03.09.2017 13:40; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 4.02; SHP_ITEM: 2; ORDER_ID: 964; FK_ORDER_ID: 24053503; CUR_ID: 155; DATE: 03.09.2017 15:56; SIGN: 8F7565943A00EC8A8C083C122ADB2BB6; MY_SIGN: 8F7565943A00EC8A8C083C122ADB2BB6;
AMOUNT: 4.02; SHP_ITEM: 2; ORDER_ID: 966; FK_ORDER_ID: 24053579; CUR_ID: 155; DATE: 03.09.2017 15:58; SIGN: 1C7934D9AF04F043EA90D224F2C33789; MY_SIGN: 1C7934D9AF04F043EA90D224F2C33789;
AMOUNT: 1.00; SHP_ITEM: 1; ORDER_ID: 1204; FK_ORDER_ID: 24069124; CUR_ID: 155; DATE: 04.09.2017 01:26; SIGN: ACE78C7A22CBE8FE354F31204E153D87; MY_SIGN: ACE78C7A22CBE8FE354F31204E153D87;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 04.09.2017 01:45; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1401; FK_ORDER_ID: 24086700; CUR_ID: 155; DATE: 04.09.2017 17:50; SIGN: CB9134E48CAE660007ABA50A2251C795; MY_SIGN: CB9134E48CAE660007ABA50A2251C795;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1436; FK_ORDER_ID: 24091421; CUR_ID: 155; DATE: 04.09.2017 20:04; SIGN: 744869334478A2F07382A3A13D45C277; MY_SIGN: 744869334478A2F07382A3A13D45C277;
AMOUNT: 120.00; SHP_ITEM: 1; ORDER_ID: 1503; FK_ORDER_ID: 24096568; CUR_ID: 155; DATE: 04.09.2017 23:02; SIGN: C8A0C0A5C7ACE6D3E69E0B05E36235BA; MY_SIGN: C8A0C0A5C7ACE6D3E69E0B05E36235BA;
AMOUNT: 5.00; SHP_ITEM: 1; ORDER_ID: 1636; FK_ORDER_ID: 24135655; CUR_ID: 155; DATE: 06.09.2017 12:13; SIGN: ECBA61806BD0065296A3AA8D326165FB; MY_SIGN: ECBA61806BD0065296A3AA8D326165FB;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1898; FK_ORDER_ID: 24164021; CUR_ID: 155; DATE: 07.09.2017 09:14; SIGN: A4BA40DF7C9AA3AEE71348F3DA4944F9; MY_SIGN: A4BA40DF7C9AA3AEE71348F3DA4944F9;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1899; FK_ORDER_ID: 24164038; CUR_ID: 155; DATE: 07.09.2017 09:32; SIGN: E59BA7370F732F8E58C89D89BC00CA36; MY_SIGN: E59BA7370F732F8E58C89D89BC00CA36;
AMOUNT: 30.00; SHP_ITEM: 1; ORDER_ID: 1974; FK_ORDER_ID: 24171100; CUR_ID: 84; DATE: 07.09.2017 14:27; SIGN: 327CBAEB99D37F4775FB2CCBF02EE794; MY_SIGN: 327CBAEB99D37F4775FB2CCBF02EE794;
