Summa: 50.00; Type: 1; Tran_id: 244; Tran_id_ik: 78446549; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 01.09.2017 17:56; SIGN1: 9F+ezaDLasdycU5vtfLhzg==; SIGN2:9F+ezaDLasdycU5vtfLhzg==
Summa: 13.13; Type: 2; Tran_id: 528; Tran_id_ik: 78486739; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 02.09.2017 14:49; SIGN1: OAqrOKNOUu4pnwSxy2HUnA==; SIGN2:OAqrOKNOUu4pnwSxy2HUnA==
Summa: 10.00; Type: 1; Tran_id: 576; Tran_id_ik: 78494047; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 02.09.2017 17:22; SIGN1: wk6uGvNYYjOfRWawNxSSnQ==; SIGN2:wk6uGvNYYjOfRWawNxSSnQ==
Summa: 5.50; Type: 20; Tran_id: 812; Tran_id_ik: 78519693; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 03.09.2017 09:28; SIGN1: CXYxRKEGKQZ/OpdD4J8i3A==; SIGN2:CXYxRKEGKQZ/OpdD4J8i3A==
Summa: 6.00; Type: 12; Tran_id: 815; Tran_id_ik: 78519809; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 03.09.2017 09:31; SIGN1: r3fiHRKOONBUQ6wBzUjFPA==; SIGN2:r3fiHRKOONBUQ6wBzUjFPA==
Summa: 100.00; Type: 1; Tran_id: 969; Tran_id_ik: 78536891; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 03.09.2017 16:31; SIGN1: BPuqBMh6QVnVHVCDrjCnEQ==; SIGN2:BPuqBMh6QVnVHVCDrjCnEQ==
Summa: 1.00; Type: 1; Tran_id: 1205; Tran_id_ik: 78558915; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 04.09.2017 01:28; SIGN1: RULJyzo1/LPsrjwan2qJhQ==; SIGN2:RULJyzo1/LPsrjwan2qJhQ==
Summa: 30.00; Type: 2; Tran_id: 1286; Tran_id_ik: 78567609; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 04.09.2017 10:52; SIGN1: OHKY9XkZ+vLlKdlXxBnbuA==; SIGN2:OHKY9XkZ+vLlKdlXxBnbuA==
Summa: 15.00; Type: 8; Tran_id: 1308; Tran_id_ik: 78570493; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 04.09.2017 12:05; SIGN1: QEKGqNn715dU3roe+B663Q==; SIGN2:QEKGqNn715dU3roe+B663Q==
Summa: 20.00; Type: 1; Tran_id: 1600; Tran_id_ik: 78662909; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 06.09.2017 10:01; SIGN1: tNUAc55T9jO21lvmZfRxUg==; SIGN2:tNUAc55T9jO21lvmZfRxUg==
Summa: 2.25; Type: 5; Tran_id: 1990; Tran_id_ik: 78728409; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 07.09.2017 16:01; SIGN1: oFVqI5FOnx9F67+u3Qipqg==; SIGN2:oFVqI5FOnx9F67+u3Qipqg==
