order_num: 153; SHP_ITEM: 1; Summ: 1.000000; Date: 14.06.2015 17:32
order_num: 154; SHP_ITEM: 1; Summ: 1.000000; Date: 14.06.2015 17:35
order_num: 298; SHP_ITEM: 1; Summ: 8.000000; Date: 24.06.2015 00:05
order_num: 349; SHP_ITEM: 12; Summ: 5.000000; Date: 02.07.2015 10:19
order_num: 380; SHP_ITEM: 12; Summ: 5.000000; Date: 06.07.2015 05:03
order_num: 397; SHP_ITEM: 12; Summ: 8.000000; Date: 11.07.2015 05:35
order_num: 457; SHP_ITEM: 7; Summ: 10.000000; Date: 19.07.2015 12:49
order_num: 527; SHP_ITEM: 1; Summ: 1.000000; Date: 27.07.2015 00:40
order_num: 573; SHP_ITEM: 2; Summ: 16.200000; Date: 30.07.2015 19:29
order_num: 585; SHP_ITEM: 8; Summ: 20.000000; Date: 01.08.2015 20:07
order_num: 622; SHP_ITEM: 12; Summ: 5.000000; Date: 04.08.2015 19:41
order_num: 624; SHP_ITEM: 12; Summ: 5.000000; Date: 04.08.2015 20:32
order_num: 768; SHP_ITEM: 3; Summ: 10.500000; Date: 14.08.2015 16:07
order_num: 789; SHP_ITEM: 6; Summ: 15.000000; Date: 17.08.2015 20:03
order_num: 864; SHP_ITEM: 2; Summ: 32.200000; Date: 26.08.2015 12:04
order_num: 888; SHP_ITEM: 2; Summ: 45.000000; Date: 28.08.2015 14:38
order_num: 911; SHP_ITEM: 16; Summ: 50.000000; Date: 30.08.2015 10:13
order_num: 980; SHP_ITEM: 2; Summ: 18.000000; Date: 09.09.2015 19:59
order_num: 981; SHP_ITEM: 2; Summ: 32.200000; Date: 10.09.2015 10:54
order_num: 1038; SHP_ITEM: 16; Summ: 50.000000; Date: 24.09.2015 15:07
order_num: 1099; SHP_ITEM: 1; Summ: 20.000000; Date: 05.10.2015 08:30
order_num: 1106; SHP_ITEM: 12; Summ: 8.000000; Date: 05.10.2015 14:39
order_num: 1109; SHP_ITEM: 2; Summ: 500.000000; Date: 07.10.2015 17:45
order_num: 1143; SHP_ITEM: 1; Summ: 600.000000; Date: 09.10.2015 15:29
order_num: 1154; SHP_ITEM: 12; Summ: 6.000000; Date: 10.10.2015 07:56
order_num: 1167; SHP_ITEM: 2; Summ: 17.500000; Date: 11.10.2015 08:58
order_num: 1168; SHP_ITEM: 12; Summ: 6.000000; Date: 11.10.2015 16:05
order_num: 1173; SHP_ITEM: 12; Summ: 6.000000; Date: 11.10.2015 18:28
order_num: 1186; SHP_ITEM: 12; Summ: 6.000000; Date: 13.10.2015 12:40
order_num: 1189; SHP_ITEM: 8; Summ: 7.500000; Date: 13.10.2015 16:29
order_num: 1191; SHP_ITEM: 8; Summ: 11.000000; Date: 13.10.2015 16:32
order_num: 1193; SHP_ITEM: 2; Summ: 17.500000; Date: 13.10.2015 18:25
order_num: 1204; SHP_ITEM: 12; Summ: 6.000000; Date: 14.10.2015 10:13
order_num: 1227; SHP_ITEM: 12; Summ: 6.000000; Date: 15.10.2015 16:10
order_num: 1234; SHP_ITEM: 8; Summ: 11.000000; Date: 16.10.2015 12:48
order_num: 1235; SHP_ITEM: 2; Summ: 17.500000; Date: 16.10.2015 12:50
order_num: 1240; SHP_ITEM: 20; Summ: 8.000000; Date: 16.10.2015 20:18
order_num: 1245; SHP_ITEM: 12; Summ: 6.000000; Date: 17.10.2015 08:45
order_num: 1247; SHP_ITEM: 2; Summ: 14.850000; Date: 17.10.2015 11:48
order_num: 1281; SHP_ITEM: 12; Summ: 6.000000; Date: 21.10.2015 13:02
order_num: 1288; SHP_ITEM: 2; Summ: 12.380000; Date: 22.10.2015 10:04
order_num: 1297; SHP_ITEM: 12; Summ: 10.000000; Date: 24.10.2015 23:10
order_num: 1323; SHP_ITEM: 2; Summ: 17.050000; Date: 28.10.2015 14:46
order_num: 1324; SHP_ITEM: 4; Summ: 19.000000; Date: 28.10.2015 14:50
order_num: 1362; SHP_ITEM: 12; Summ: 8.000000; Date: 31.10.2015 14:18
order_num: ; SHP_ITEM: ; Summ: ; Date: 08.05.2016 16:47
order_num: ; SHP_ITEM: ; Summ: ; Date: 08.05.2016 18:23
order_num: ; SHP_ITEM: ; Summ: 1; Date: 09.05.2016 05:00
order_num: ; SHP_ITEM: ; Summ: 0.5; Date: 09.05.2016 05:04
order_num: ; SHP_ITEM: ; Summ: 0.5; Date: 09.05.2016 05:10
order_num: ; SHP_ITEM: ; Summ: 9; Date: 09.05.2016 13:46
order_num: ; SHP_ITEM: ; Summ: 9; Date: 09.05.2016 13:49
order_num: ; SHP_ITEM: ; Summ: 0.1; Date: 09.05.2016 14:00
order_num: ; SHP_ITEM: ; Summ: 2.5; Date: 09.05.2016 14:01
order_num: ; SHP_ITEM: ; Summ: 9; Date: 09.05.2016 14:08
order_num: 445; SHP_ITEM: ; Summ: 18; Date: 09.05.2016 15:10
order_num: ; SHP_ITEM: ; Summ: ; Date: 10.05.2016 16:17
